evaluation_id,vendor_id,vendor,category_id,evaluation_category,criterion_id,evaluation_criterion,evaluation_status,assigned_score,rating,score_justification,evidence_summary,source_type,source_url,evidence_confidence,evaluation_notes
E0084,V005,Salesforce,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Forrester study reflects independent composite financial modeling; internal deployment metrics are vendor-reported.,"A Forrester Total Economic Impact study demonstrated a 396% three-year ROI, 35% case deflection, 50% handling time reduction, and payback in under 12 months. Salesforce's internal deployment achieved a 40% reduction in qualification time and $20M in pipeline growth.","Analyst reports (e.g., Gartner, Forrester, IDC)",1](https://tei.forrester.com/go/Salesforce/Agentforce/?lang=en-us),High / Medium,Forrester study reflects independent composite financial modeling; internal deployment metrics are vendor-reported.
E0085,V005,Salesforce,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Native Hyperforce deployment supports global hyperscaler infrastructure and enterprise-scale concurrency.,"Built on Salesforce Hyperforce public cloud infrastructure and Data Cloud, Agentforce provides elastic compute scaling, global multi-region availability, and consumption-based scaling across channels (proven across >100k website and >2M Salesforce Help conversations).",Official Documentation,1](https://help.salesforce.com/s/articleView?id=ai.agent_builder_tour.htm) ; [2](https://www.salesforce.com/in/platform/public-cloud-infrastructure/),High,Native Hyperforce deployment supports global hyperscaler infrastructure and enterprise-scale concurrency.
E0086,V006,ServiceNow,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Operates autonomously across ITSM, CSM, and HRSD workflows without requiring manual invocation.","Now Assist AI agents autonomously triage incoming service requests, execute multi-step diagnostic investigations, and remediate incidents end-to-end without manual intervention. Self-executing agentic workflows can be triggered automatically (via schedule, system events, or user intent) to analyze context, use configured tools, and execute actions across workflows and enterprise records.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,"Operates autonomously across ITSM, CSM, and HRSD workflows without requiring manual invocation."
E0087,V006,ServiceNow,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Combines episodic outcome-based learning loops with administrator-guided prompt/skill evaluation and refinement.,"AI agents feature episodic memory learning, converting execution outcomes, past failures, and fixes into experience applied to future tasks. Now Assist Analytics, skill evaluation tools, and user feedback metrics (thumbs up/down) in the Now Assist Admin Console track acceptance rates to iteratively refine skills and prompts.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,Combines episodic outcome-based learning loops with administrator-guided prompt/skill evaluation and refinement.
E0088,V006,ServiceNow,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Combines short-term workflow tracking with persistent long-term semantic user memory and CMDB grounding.,"ServiceNow provides long-term semantic memory that retains user-specific facts across interactions, while AI Agent Orchestrator and Now Assist maintain short-term session memory during execution. Context is assembled by combining dialogue history with grounding from the ServiceNow Configuration Management Database (CMDB), user profiles, and active records.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,Combines short-term workflow tracking with persistent long-term semantic user memory and CMDB grounding.
E0089,V006,ServiceNow,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Supports dynamic reasoning and execution across structured CMDB data, business logic, and unstructured knowledge content.","ServiceNow's AI Agent Orchestrator plans and coordinates tasks across AI agents, while individual agents use domain-tuned Now LLM reasoning engines, prompt-chaining, record context, searchable CMDB data, knowledge articles, and LLM-generated next-best actions to analyze unstructured incident logs, set intermediate goals, and execute remediation subflows.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,"Supports dynamic reasoning and execution across structured CMDB data, business logic, and unstructured knowledge content."
E0090,V006,ServiceNow,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Provides visual drag-and-drop orchestration templates alongside automatic trigger activation and AI-driven control flow.,"Agentic workflows coordinate multi-step, cross-departmental actions using Flow Designer, Process Automation Designer, Playbooks, and the AI Agent Orchestrator. Workflows leverage triggers, tools, modular action blocks, and prebuilt agentic flow templates that can execute on a schedule, on demand, or in response to system events.",Official Documentation,1](https://docs.servicenow.com/bundle/xanadu-build-workflows/page/administer/flow-designer/concept/flow-template.html),High,Provides visual drag-and-drop orchestration templates alongside automatic trigger activation and AI-driven control flow.
E0091,V006,ServiceNow,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Enables citizen and pro developers to build and configure custom agents and skills visually or via natural language.,"AI Agent Studio, Now Assist Skill Kit, and Creator Studio provide guided low-code/no-code visual builders to define agent roles, instructions, tools, memory, and access channels. The platform also supports natural-language agent creation in its Prime tier and prompt-based skill authoring.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-zurich-hyperautomation-low-code-enus.pdf),High,Enables citizen and pro developers to build and configure custom agents and skills visually or via natural language.
E0092,V006,ServiceNow,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Comprehensive developer tooling combining generative coding, automated flow drafting, and automated testing.","AI Agent Studio provides guided setup for roles, triggers, channels, and memory, while AI Agent Advisor proposes or generates agents from instance data. Now Assist for Creator adds App Generation, Flow Generation from text prompts, Code Generation in Studio/VS Code, and Automated Testing Framework (ATF) support.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-zurich-hyperautomation-low-code-enus.pdf),High,"Comprehensive developer tooling combining generative coding, automated flow drafting, and automated testing."
E0093,V006,ServiceNow,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Out-of-the-box model support varies across specific prebuilt skills and agentic workflows.,"The ServiceNow AI Platform and Generative AI Controller support the proprietary Now LLM Service as well as third-party model providers including Microsoft Azure OpenAI, Google Cloud (Gemini), AWS (Claude), OpenAI, and IBM watsonx. Model selection can be assigned per skill or use case.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,Out-of-the-box model support varies across specific prebuilt skills and agentic workflows.
E0094,V006,ServiceNow,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Multi-agent architecture enables collaboration and task delegation across IT, HR, and customer service domains.","AI Agent Orchestrator coordinates multiple specialized domain agents (such as IT Service Desk, Case Triage, and Security Operations agents), managing task sequencing, context sharing, handoffs, and delegation across complex enterprise workflows.",Official Documentation,1](https://www.servicenow.com/au/ai/use-cases.html),High,"Multi-agent architecture enables collaboration and task delegation across IT, HR, and customer service domains."
E0095,V006,ServiceNow,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Supports managed enterprise cloud and government/sovereign cloud instances; does not support arbitrary self-hosted runtime deployment.,"Built on a multi-instance architecture with data segregation across global datacenters, the platform supports multi-tenant cloud instances, dedicated private sovereign clouds, FedRAMP High / DoD IL5 environments, and hybrid deployments managed via standard lifecycle and change review processes.",Technical documentation and developer guides,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-australia-better-together-enus.pdf),High,Supports managed enterprise cloud and government/sovereign cloud instances; does not support arbitrary self-hosted runtime deployment.
E0096,V006,ServiceNow,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports bi-directional synchronous/asynchronous API execution and native Model Context Protocol (MCP) tooling.,"Agents integrate with enterprise systems via Integration Hub (hundreds of prebuilt spokes), REST/SOAP APIs, OpenAPI imports, RPA Hub connectors, and record operations. The MCP Client enables agents to connect to external MCP servers, while the MCP Server Console exposes ServiceNow functionality to external AI applications.",Official Documentation,1](https://docs.servicenow.com/bundle/xanadu-integrate-applications/page/product/rpa-hub/reference/process-parameter-form.html),High,Supports bi-directional synchronous/asynchronous API execution and native Model Context Protocol (MCP) tooling.
E0097,V006,ServiceNow,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Enterprise-grade governance combining inline PII masking, identity segregation, and compliance auditing.","Security is enforced through platform ACLs, role-based access control (RBAC), AI-user identities, role masking, and runtime guardrails. Sensitive Data Handler detects and masks PII before sending prompts, and AI Control Tower provides centralized asset governance, compliance oversight, and lifecycle management.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,"Enterprise-grade governance combining inline PII masking, identity segregation, and compliance auditing."
E0098,V006,ServiceNow,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Enforces pre-action human approvals for sensitive actions and seamless handoffs preserving context.,"AI agents support supervised execution mode, pausing for user input, answering questions, or requiring human approval before critical tools execute. Workflows also support guided approvals, editable AI draft responses (e.g., ticket updates, emails), and seamless handoffs to live human service agents.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,Enforces pre-action human approvals for sensitive actions and seamless handoffs preserving context.
E0099,V006,ServiceNow,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Delivers comprehensive operational tracing and telemetry; this is not formal model-feature attribution or causal explainability.,"ServiceNow provides historical workflow run traces, step-level processing messages, AI Agent Analytics (usage, efficiency, token consumption, error rates), Generative AI Controller execution logs, and AI Control Tower for centralized oversight of agent activity and assets.",Official Documentation,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf),High,Delivers comprehensive operational tracing and telemetry; this is not formal model-feature attribution or causal explainability.
E0100,V006,ServiceNow,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Deep vertical workflows mapping directly to standard enterprise business processes and departments.,"Purpose-built agentic workflows and pre-trained models cover IT Service Management (ITSM), Customer Service Management (CSM), HR Service Delivery (HRSD), Field Service Management (FSM), and Security Operations (SecOps) for tasks like incident triage, resolution planning, and task classification.",Official Documentation,1](https://www.servicenow.com/au/ai/use-cases.html),High,Deep vertical workflows mapping directly to standard enterprise business processes and departments.
E0101,V006,ServiceNow,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Demonstrates strong financial and operational ROI; vendor-reported metrics combine AI agents with broader platform AI capabilities.,"A commissioned Forrester TEI study demonstrated up to 400% ROI over three years, accelerated incident resolution, and significant deflection. ServiceNow's internal deployment achieved 410,000 hours saved annually, $17.7M in cost avoidance, and 2.3M employee hours saved in 2025 (with 89% self-service resolution).",Customer case studies and implementation stories,1](https://www.servicenow.com/content/dam/servicenow-assets/public/en-us/doc-type/resource-center/ebook/cio-business-value-ai-for-it-solutions.pdf),High / Medium,Demonstrates strong financial and operational ROI; vendor-reported metrics combine AI agents with broader platform AI capabilities.
E0102,V006,ServiceNow,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Proven high-availability enterprise scalability across global multi-instance datacenter infrastructure.,"Built on ServiceNow's Advanced High Availability multi-instance architecture and RaptorDB high-throughput data store, the platform scales globally across datacenters to handle millions of workflow transactions, petabyte-scale data, and high-concurrency enterprise sessions.",Technical documentation and developer guides,1](https://downloads.docs.servicenow.com/pdf/enus/servicenow-australia-better-together-enus.pdf),High,Proven high-availability enterprise scalability across global multi-instance datacenter infrastructure.
E0103,V007,Signzy,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Focuses on autonomous execution within regulatory identity verification, CKYC/CERSAI submission, and compliance rule domains.","Signzy's Agentic CKYC Platform and Intelligent Process Automation (IPA) engine automate CKYC search, data validation, correction, image optimization, sensitive ID masking, and straight-through processing (STP) for customer onboarding and risk assessment without manual intervention when pre-set validation rules are met.",Official Documentation,1](https://www.signzy.com/agentic-ckyc-platform) ; [2](https://www.signzy.com/our-innovations/no-code-platform),High,"Focuses on autonomous execution within regulatory identity verification, CKYC/CERSAI submission, and compliance rule domains."
E0104,V007,Signzy,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Not Evaluated,,,Insufficient publicly available evidence to evaluate this criterion. Source evaluation note: Focuses on operational model performance monitoring and rule calibration; no official evidence of autonomous continual self-training or parameter adaptation from live interactions.,"The platform monitors model drift and applies ongoing risk scoring and rule calibration to optimize compliance, fraud detection, and transaction monitoring algorithms over time.",Official Documentation,1](https://www.signzy.com/general-glossary/model-drift),Medium / Low,Focuses on operational model performance monitoring and rule calibration; no official evidence of autonomous continual self-training or parameter adaptation from live interactions.
E0105,V007,Signzy,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Not Evaluated,,,"Insufficient publicly available evidence to evaluate this criterion. Source evaluation note: Manages session state and lifecycle audit records; public documentation does not establish a general-purpose, persistent agent conversational memory service.","The Orchestrator persists application state, customer data, and API response payloads at journey checkpoints using unique customer/journey identifiers, maintaining back-office audit trails and session context across multi-step flows and transaction monitoring streams.",Technical documentation and developer guides,1](https://docs.signzy.com/orchestrator-stack-and-platform/platform-mechanism) ; [2](https://docs.signzy.com/orchestrator-stack-and-platform/api-self-service-portal-and-backops),High / Medium,"Manages session state and lifecycle audit records; public documentation does not establish a general-purpose, persistent agent conversational memory service."
E0106,V007,Signzy,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Not Evaluated,,,Insufficient publicly available evidence to evaluate this criterion. Source evaluation note: Demonstrates automated multi-level deterministic and ML-driven decision logic rather than open-ended LLM chain-of-thought planning.,"The platform utilizes an AI-based Rule and Decision Engine capable of evaluating up to 7 levels of conditional rules and risk scoring simultaneously for de-duplication, name screening/grading, fraud detection, and verification pathways.",Official Documentation,1](https://www.signzy.com/agentic-ckyc-platform) ; [2](https://www.signzy.com/our-innovations/no-code-platform),High / Medium,Demonstrates automated multi-level deterministic and ML-driven decision logic rather than open-ended LLM chain-of-thought planning.
E0107,V007,Signzy,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Features visual drag-and-drop workflow authoring for complex, cross-channel onboarding and verification journeys.","Signzy's No-Code API Orchestrator (NCO / Signzy GO) supports multi-stage journeys with drag-and-drop workflow configuration, conditional routing, API sequencing (sequential or parallel), checkpoints, and customized verification, validation, AI, and bank-specific business rules.",Technical documentation and developer guides,1](https://docs.signzy.com/orchestrator-stack-and-platform/platform-mechanism) ; [2](https://docs.signzy.com/orchestrator-stack-and-platform/guidelines-for-seamless-integration-with-signzys-no-code-api-orchestrator) ; [3](https://www.signzy.com/our-innovations/no-code-platform),High,"Features visual drag-and-drop workflow authoring for complex, cross-channel onboarding and verification journeys."
E0108,V007,Signzy,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Not Evaluated,,,"Insufficient publicly available evidence to evaluate this criterion. Source evaluation note: Confirms visual, no-code workflow and journey creation; does not establish an open-ended general-purpose agent builder.","Signzy GO provides a drag-and-drop no-code graphical platform enabling business and compliance teams to design onboarding journeys, set up multi-level decision rules, configure API sequencing, and integrate modular verification components without writing code.",Official Documentation,1](https://www.signzy.com/) ; [2](https://docs.signzy.com/orchestrator-stack-and-platform/api-self-service-portal-and-backops) ; [3](https://www.signzy.com/our-innovations/no-code-platform),High,"Confirms visual, no-code workflow and journey creation; does not establish an open-ended general-purpose agent builder."
E0109,V007,Signzy,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,3.0,Adequate,"Assigned score of 3 based on the documented evidence for this criterion. Streamlines integration and testing through self-service sandboxes, prebuilt widgets, and reusable modular components.","Signzy provides an API Self-Service Portal featuring a secure sandbox environment, plug-and-play REST APIs, credential management, comprehensive documentation, pre-built frontend widgets, and no-code API onboarding tools.",Technical documentation and developer guides,1](https://www.signzy.com/developer-page) ; [2](https://docs.signzy.com/orchestrator-stack-and-platform/api-self-service-portal-and-backops),High,"Streamlines integration and testing through self-service sandboxes, prebuilt widgets, and reusable modular components."
E0110,V007,Signzy,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Not Evaluated,,,"Insufficient publicly available evidence to evaluate this criterion. Source evaluation note: Signzy utilizes proprietary AI/ML, OCR, and computer vision models for verification; no public documentation exists for general foundation model switching or BYOLLM frameworks.",Not Publicly Evaluated.,Official Documentation,—,Low,"Signzy utilizes proprietary AI/ML, OCR, and computer vision models for verification; no public documentation exists for general foundation model switching or BYOLLM frameworks."
E0111,V007,Signzy,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Not Evaluated,,,"Insufficient publicly available evidence to evaluate this criterion. Source evaluation note: No sufficient official public documentation was found demonstrating autonomous multi-agent collaboration, delegation frameworks, or inter-agent protocols.",Not Publicly Evaluated.,Official Documentation,—,Low,"No sufficient official public documentation was found demonstrating autonomous multi-agent collaboration, delegation frameworks, or inter-agent protocols."
E0112,V007,Signzy,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,3.0,Adequate,Assigned score of 3 based on the documented evidence for this criterion. Supports hosted cloud-native API access and jurisdiction-specific residency; broad on-premises or customer-managed self-hosting is not sufficiently documented.,"Signzy provides cloud SaaS delivery, preproduction/production HTTPS API environments, and cloud-native hosting with support for regional data localization and data residency compliance across global jurisdictions.",Technical documentation and developer guides,1](https://docs.signzy.com/investor-onboarding-io/authentication) ; [2](https://www.signzy.com/use-cases/governance-risk-compliance),High / Medium,Supports hosted cloud-native API access and jurisdiction-specific residency; broad on-premises or customer-managed self-hosting is not sufficiently documented.
E0113,V007,Signzy,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Comprehensive API coverage for identity verification, document extraction, AML/KYC checks, and external system connectivity.","Signzy offers an aggregated marketplace of over 200–240 REST API microservices, embeddable widgets, and a no-code API Orchestrator that handles data mapping, transformations, sequencing, retries, rate limiting, and webhooks across core banking and partner systems (e.g., India Stack, biometrics, databases).",Official Documentation,1](https://www.signzy.com/fintech-apis/india-stack) ; [2](https://docs.signzy.com/orchestrator-stack-and-platform/guidelines-for-seamless-integration-with-signzys-no-code-api-orchestrator) ; [3](https://www.signzy.com/our-innovations/no-code-platform),High,"Comprehensive API coverage for identity verification, document extraction, AML/KYC checks, and external system connectivity."
E0114,V007,Signzy,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Strict adherence to financial-grade security, enterprise access management, and global regulatory compliance standards.","Certified ISO/IEC 27001 and SOC 2 compliant, supporting 256-bit encryption (at rest and in transit), HTTPS, mTLS, OAuth 2.0, API key authentication, role-based access control (RBAC), 24/7 security monitoring, and privacy audit trails.",Official Documentation,1](https://docs.signzy.com/investor-onboarding-io/authentication) ; [2](https://www.signzy.com/privacy-policy) ; [3](https://www.signzy.com/agentic-ckyc-platform) ; [4](https://www.signzy.com/use-cases/governance-risk-compliance),High,"Strict adherence to financial-grade security, enterprise access management, and global regulatory compliance standards."
E0115,V007,Signzy,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Enables explicit operator review and manual sign-off on flagged, ambiguous, or high-risk verification cases.","Integrates human-in-the-loop workflows across products, including a back-office case management console, role-based escalation queues for ambiguous cases, assisted Video KYC (V-CIP) with human verification, and manual review of probable face matches before CKYC submission.",Official Documentation,1](https://www.signzy.com/agentic-ckyc-platform) ; [2](https://www.signzy.com/general-glossary/human-in-the-loop-hitl),High,"Enables explicit operator review and manual sign-off on flagged, ambiguous, or high-risk verification cases."
E0116,V007,Signzy,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,3.0,Adequate,"Assigned score of 3 based on the documented evidence for this criterion. Delivers robust operational logging, status tracking, and audit trails; formal AI reasoning explainability is not publicly documented.","Provides operational traceability through back-office activity logs, API consumption statistics, transaction-level rule evaluation status breakdowns (violations, evaluation timings), MIS reporting, and Video KYC call analytics dashboards.",Official Documentation,1](https://docs.signzy.com/orchestrator-stack-and-platform/api-self-service-portal-and-backops) ; [2](https://www.signzy.com/fintech-apis/video-kyc) ; [3](https://docs.signzy.com/grc-suite/transaction-monitoring-api),High,"Delivers robust operational logging, status tracking, and audit trails; formal AI reasoning explainability is not publicly documented."
E0117,V007,Signzy,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Deep domain specializations mapped directly to global identity verification and regulatory compliance frameworks.,"Purpose-built for financial services, banking, NBFCs, fintech, insurance, lending, wealth management, and crypto due diligence across 150+ countries, with specialized workflows for KYC, KYB, AML, CKYC, and V-CIP.",Official Documentation,1](https://www.signzy.com/agentic-ckyc-platform) ; [2](https://www.signzy.com/industries/banking) ; [3](https://www.signzy.com/our-innovations/no-code-platform),High,Deep domain specializations mapped directly to global identity verification and regulatory compliance frameworks.
E0118,V007,Signzy,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Strong customer and platform performance metrics; figures are vendor- and customer-reported rather than independently audited ROI studies.,"Implementations deliver substantial operational gains, including a 90% reduction in turnaround time, a 70% decrease in manual reviews, a 75% drop in operational costs, a 66% reduction in customer drop-off, a 3x increase in successful onboardings, and deployment in 3–4 weeks.",Customer case studies and implementation stories,1](https://www.signzy.com/wp-content/uploads/2024/10/Video-KYC-case-study.pdf) ; [2](https://www.signzy.com/blogs/automating-online-kyc-the-intelligent-way-using-ipa-f3d6693b677d) ; [3](https://www.signzy.com/our-innovations/no-code-platform),High / Medium,Strong customer and platform performance metrics; figures are vendor- and customer-reported rather than independently audited ROI studies.
E0119,V007,Signzy,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Proven high-concurrency scalability in Tier-1 banking and fintech production deployments.,"Designed for high-throughput enterprise scale, supporting over 1 million queries per hour, more than 10 million monthly onboardings/verifications at a 99% success rate, and over 300,000 monthly Video KYC calls for major banking clients.",Customer case studies and implementation stories,1](https://www.signzy.com/blogs/digital-transformation-in-banking) ; [2](https://www.signzy.com/wp-content/uploads/2024/10/Video-KYC-case-study.pdf) ; [3](https://www.signzy.com/our-innovations/no-code-platform),High,Proven high-concurrency scalability in Tier-1 banking and fintech production deployments.
E0120,V008,Writer AI,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Built on Agent Builder Blueprints, tool-calling execution blocks, and state execution engines.","Writer AI agents autonomously execute end-to-end task pipelines—evaluating user inputs, determining when and how to select tools, executing custom Python scripts, querying Knowledge Graphs, and calling external APIs without manual intervention. Deployed no-code agents can also serve as reusable tools for other applications.",Technical documentation and developer guides,1](https://dev.writer.com/blueprints/toolcalling) ; [2](https://dev.writer.com/home/applications-tool-calling) ; [3](https://dev.writer.com/agent-builder/overview),High,"Built on Agent Builder Blueprints, tool-calling execution blocks, and state execution engines."
E0121,V008,Writer AI,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Focuses on prompt evaluation and benchmark scoring; no official documentation found demonstrating autonomous continual learning or runtime model-parameter retraining.,"The platform supports systematic prompt evaluation, activity log reviews, and continuous accuracy benchmarking against standard frameworks (e.g., Stanford HELM, MMLU) across Palmyra models to guide iterative refinement.",Official Documentation,1](https://dev.writer.com/home/language_support),High / Medium,Focuses on prompt evaluation and benchmark scoring; no official documentation found demonstrating autonomous continual learning or runtime model-parameter retraining.
E0122,V008,Writer AI,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Agent state is session-scoped, while persistent storage and Knowledge Graph enable multi-session data persistence.","Writer provides multi-turn session state management shared across components, persistent key-value storage across blueprint steps, and graph-based Retrieval-Augmented Generation (Knowledge Graph) for persisting and retrieving semantic contextual data across agent sessions.",Technical documentation and developer guides,1](https://dev.writer.com/agent-builder/agent-architecture) ; [2](https://dev.writer.com/agent-builder/state) ; [3](https://dev.writer.com/agent-builder/overview),High,"Agent state is session-scoped, while persistent storage and Knowledge Graph enable multi-session data persistence."
E0123,V008,Writer AI,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Supports structured step decomposition, parameter extraction, and intermediate reasoning paths.","Writer agents use reasoning decomposition to break down complex queries into subquestions, evaluating structured intermediate logic via Palmyra models and conditional decision blocks. Tool Calling blocks enable agents to extract parameters, sequence actions, and apply ReAct-style iterative reasoning.",Technical documentation and developer guides,1](https://dev.writer.com/blueprints/toolcalling) ; [2](https://dev.writer.com/agent-builder/agent-architecture) ; [3](https://writer.com/blog/chat-app-rag-thought-process/),High,"Supports structured step decomposition, parameter extraction, and intermediate reasoning paths."
E0124,V008,Writer AI,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Blueprints define execution logic, routing, error handling, and cross-system orchestration (documented in Beta).","Agent Builder Blueprints provide visual and programmatic workflow orchestration using modular drag-and-drop blocks for loops, conditional if-else branching, RAG, text generation, classification, tool calling, state management, and custom enterprise workflows across people and systems.",Technical documentation and developer guides,1](https://dev.writer.com/agent-builder/overview) ; [2](https://dev.writer.com/blueprints/if-else),High,"Blueprints define execution logic, routing, error handling, and cross-system orchestration (documented in Beta)."
E0125,V008,Writer AI,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Enables technical and non-technical users to design logic and interfaces visually (Agent Builder noted in Beta).,"Writer provides both a No-Code Builder for prompt-based agent creation (defining inputs, instructions, and outputs) and a low-code visual Agent Builder featuring drag-and-drop blueprint canvases for configuring workflows, tools, RAG, and state.",Technical documentation and developer guides,1](https://dev.writer.com/no-code/introduction) ; [2](https://dev.writer.com/agent-builder/overview) ; [3](https://dev.writer.com/home/development_options),High,Enables technical and non-technical users to design logic and interfaces visually (Agent Builder noted in Beta).
